ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP_PI3KAKT_SIGNALING_PATHWAY	WP_PI3KAKT_SIGNALING_PATHWAY	17/190	345/21728	1.0728934618692e-08	2.99568200599981e-06	2.1286866989868e-06	CASP9/COL1A1/COL1A2/COL2A1/COL6A3/FGFR2/FGFR3/FLT1/GNB2/HRAS/MAP2K2/PIK3CA/PIK3R2/RAC1/RAF1/SOS2/TNC	17
WP_HEPATITIS_B_INFECTION	WP_HEPATITIS_B_INFECTION	12/190	154/21728	1.14521134348511e-08	2.99568200599981e-06	2.1286866989868e-06	APAF1/CASP9/CREBBP/DDX3X/HRAS/MAP2K2/MMP9/PIK3CA/PIK3R2/RAF1/SOS2/TLR3	12
BIOCARTA_NFAT_PATHWAY	BIOCARTA_NFAT_PATHWAY	8/190	51/21728	1.36173256600586e-08	3.13382456781701e-06	2.22684873131042e-06	ACTA1/AGT/CREBBP/GATA4/HRAS/PIK3CA/PRKACB/RAF1	8
WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING_PATHWAY	WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING_PATHWAY	16/190	309/21728	1.47823815101357e-08	3.13382456781701e-06	2.22684873131042e-06	CASP9/COL11A2/COL1A1/COL1A2/COL2A1/EPAS1/FGFR2/FGFR3/FLT1/GNB2/HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1/TNC	16
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER	8/190	52/21728	1.59736199697586e-08	3.13382456781701e-06	2.22684873131042e-06	CASP9/CDH1/HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1/SOS2	8
WP_NETRINUNC5B_SIGNALING_PATHWAY	WP_NETRINUNC5B_SIGNALING_PATHWAY	8/190	52/21728	1.59736199697586e-08	3.13382456781701e-06	2.22684873131042e-06	ALPL/CDH5/COL1A1/MAP2K2/PIK3CA/PTPN11/RAC1/RAF1	8
WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER	WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER	12/190	164/21728	2.32133944307973e-08	4.28628500695721e-06	3.04576983274671e-06	CDH1/FZD6/HRAS/MAP2K2/MMP9/NOTCH1/PIK3CA/PIK3R2/PKD1/RAF1/SOS2/WNT6	12
GRESHOCK_CANCER_COPY_NUMBER_UP	GRESHOCK_CANCER_COPY_NUMBER_UP	16/190	323/21728	2.74783608790439e-08	4.79192082218437e-06	3.40506705863707e-06	CDH1/CDH11/COL1A1/CREBBP/FGFR2/FGFR3/HRAS/LIFR/MECOM/NF1/NOTCH1/PBX1/PIK3CA/PTPN11/SMARCB1/STIL	16
WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA	WP_MET_IN_TYPE_1_PAPILLARY_RENAL_CELL_CARCINOMA	8/190	59/21728	4.46749612881668e-08	7.38077386755555e-06	5.24466720053326e-06	HRAS/MAP2K2/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1/SOS2	8
WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE	WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE	9/190	84/21728	5.17493879874709e-08	8.12206644463356e-06	5.77141858660268e-06	FGFR2/FGFR3/HRAS/MAP2K2/NF1/PIK3CA/PIK3R2/RAF1/SOS2	9
WP_BLADDER_CANCER	WP_BLADDER_CANCER	7/190	41/21728	6.11953760115401e-08	9.14725168096307e-06	6.49989983801772e-06	CDH1/FGFR3/HRAS/MAP2K2/MMP9/PIK3R2/RAF1	7
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER	9/190	89/21728	8.60595201793993e-08	1.17399834765838e-05	8.34225616166096e-06	CASP9/CREBBP/FGFR2/HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1/SOS2	9
WP_IL6_SIGNALING_PATHWAY	WP_IL6_SIGNALING_PATHWAY	7/190	43/21728	8.64284514944903e-08	1.17399834765838e-05	8.34225616166096e-06	AGT/CREBBP/MAP2K2/NCOA1/PIK3R2/PTPN11/RAC1	7
WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES	WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES	10/190	119/21728	9.61582038872753e-08	1.17399834765838e-05	8.34225616166096e-06	FGFR2/FGFR3/FZD6/NOTCH1/PIK3CA/PIK3R2/PRKDC/PTCH1/SOX9/WNT6	10
WP_ENDOCHONDRAL_OSSIFICATION	WP_ENDOCHONDRAL_OSSIFICATION	8/190	65/21728	9.72410227432873e-08	1.17399834765838e-05	8.34225616166096e-06	ADAMTS1/ALPL/BMP7/COL2A1/FGFR3/MMP9/PTCH1/SOX9	8
WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS	WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS	8/190	65/21728	9.72410227432873e-08	1.17399834765838e-05	8.34225616166096e-06	ADAMTS1/ALPL/BMP7/COL2A1/FGFR3/MMP9/PTCH1/SOX9	8
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	13/190	237/21728	1.79695749485191e-07	2.08912947271857e-05	1.48450406689715e-05	ARID1A/ARID1B/AUTS2/CR1/CREBBP/FOXP3/GATA3/KMT2D/LDB1/LIFR/PTPN11/SMARCB1/SMARCC2	13
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	15/190	327/21728	2.05367024972208e-07	2.30231104067058e-05	1.63598769141395e-05	FGA/FGFR2/FGFR3/HRAS/MAP2K2/MMP10/NEFL/NF1/PIK3CA/PIK3R2/PRKACB/PTPN11/RAC1/RAF1/RAPGEF2	15
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	8/190	73/21728	2.43986205796142e-07	2.6409403448072e-05	1.87661259557904e-05	HRAS/MAP2K2/MECOM/PIK3CA/PIK3R2/PTPN11/RAF1/SOS2	8
PID_AVB3_INTEGRIN_PATHWAY	PID_AVB3_INTEGRIN_PATHWAY	8/190	74/21728	2.71530231652753e-07	2.78396336381774e-05	1.97824260757861e-05	COL11A2/COL1A1/COL1A2/COL2A1/COL6A3/PIK3CA/PTPN11/RAC1	8
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	17/190	432/21728	2.7493744593294e-07	2.78396336381774e-05	1.97824260757861e-05	AMER1/CASP9/CREBBP/FGA/FGFR2/FGFR3/FZD6/HRAS/KAT2A/MAP2K2/NF1/NOTCH1/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1	17
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	9/190	103/21728	3.05914404781494e-07	3.00082911440347e-05	2.13234415701311e-05	BBS12/BBS4/DYNC2H1/IFT122/MKS1/OFD1/PIBF1/TRAF3IP1/TTC21B	9
WP_PROLACTIN_SIGNALING_PATHWAY	WP_PROLACTIN_SIGNALING_PATHWAY	8/190	76/21728	3.34688041275036e-07	3.18359321685557e-05	2.2622135868e-05	FLNA/HRAS/MAP2K2/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1	8
BIOCARTA_MET_PATHWAY	BIOCARTA_MET_PATHWAY	6/190	33/21728	3.75950545040564e-07	3.47090812024215e-05	2.46637524749522e-05	ACTA1/HRAS/MAP2K2/PIK3CA/PTPN11/RAF1	6
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER	7/190	54/21728	4.37990887351759e-07	3.92815255827763e-05	2.79128628661166e-05	CASP9/HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1/SOS2	7
REACTOME_SIGNALING_BY_MET	REACTOME_SIGNALING_BY_MET	8/190	79/21728	4.52840161736002e-07	3.94851463247031e-05	2.80575527110698e-05	COL11A2/COL1A1/COL1A2/COL2A1/HRAS/PIK3CA/PTPN11/RAC1	8
WP_NRP1TRIGGERED_SIGNALING_PATHWAYS_IN_PANCREATIC_CANCER	WP_NRP1TRIGGERED_SIGNALING_PATHWAYS_IN_PANCREATIC_CANCER	7/190	55/21728	4.9817896031876e-07	4.21778600381101e-05	2.99709546857884e-05	CDH5/COL1A1/COL1A2/FLT1/MAP2K2/MMP9/RAC1	7
BIOCARTA_MAL_PATHWAY	BIOCARTA_MAL_PATHWAY	5/190	19/21728	5.10595311069826e-07	4.21778600381101e-05	2.99709546857884e-05	ACTA1/HRAS/MAP2K2/RAC1/RAF1	5
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	6/190	35/21728	5.43015627868962e-07	4.37057963046326e-05	3.10566832781196e-05	COL1A1/COL1A2/PIK3CA/PIK3R2/PTPN11/RAC1	6
PID_GMCSF_PATHWAY	PID_GMCSF_PATHWAY	6/190	36/21728	6.46903468216439e-07	5.07657496682851e-05	3.60733802408062e-05	HRAS/MAP2K2/PIK3CA/PRKACB/PTPN11/RAF1	6
BORCZUK_MALIGNANT_MESOTHELIOMA_UP	BORCZUK_MALIGNANT_MESOTHELIOMA_UP	14/190	311/21728	6.63696751129475e-07	5.08132707754981e-05	3.61071480267871e-05	ATP2A2/CREBBP/FLNA/FZD6/KDM1A/KRIT1/NAP1L1/PIGC/PRKDC/RAC1/RAF1/RIT1/TUBA1A/USP9X	14
WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM	WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM	7/190	60/21728	9.13823801425931e-07	6.82974503018094e-05	4.85311437398884e-05	BMP7/FGFR2/FRAS1/GATA3/GREB1L/HNF1B/PBX1	7
SWEET_LUNG_CANCER_KRAS_DN	SWEET_LUNG_CANCER_KRAS_DN	16/190	423/21728	1.05241913312177e-06	7.68265967178895e-05	5.45918272481038e-05	ACTA1/ATP2A2/CDH11/CDH5/COL1A1/COL1A2/EPAS1/FLT1/FOXF1/LIFR/MACF1/PTCH1/PTPRB/SMAD6/THBD/TUBA1A	16
BIOCARTA_RAS_PATHWAY	BIOCARTA_RAS_PATHWAY	5/190	22/21728	1.13196379496475e-06	8.07553261907805e-05	5.73835234815861e-05	CASP9/HRAS/PIK3CA/RAC1/RAF1	5
WP_BREAST_CANCER_PATHWAY	WP_BREAST_CANCER_PATHWAY	10/190	156/21728	1.19817798743277e-06	8.35795711678102e-05	5.93903895992991e-05	FZD6/HRAS/MAP2K2/NCOA1/NOTCH1/PIK3CA/PIK3R2/RAF1/SOS2/WNT6	10
WP_KISSPEPTINKISSPEPTIN_RECEPTOR_SYSTEM_IN_THE_OVARY	WP_KISSPEPTINKISSPEPTIN_RECEPTOR_SYSTEM_IN_THE_OVARY	6/190	40/21728	1.23831826789927e-06	8.45017618029524e-05	6.00456844320035e-05	CYP11A1/HRAS/MAP2K2/MMP9/PIK3CA/RAF1	6
REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_DEGRADATION	7/190	64/21728	1.42721343598667e-06	9.53196377779179e-05	6.77327048343952e-05	COL11A2/COL1A1/COL1A2/COL2A1/COL6A3/MMP10/MMP9	7
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	6/190	42/21728	1.6679801291732e-06	0.000106682421360774	7.58069284094768e-05	CDH1/FGFR3/HRAS/MAP2K2/MMP9/RAF1	6
REACTOME_CILIUM_ASSEMBLY	REACTOME_CILIUM_ASSEMBLY	11/190	202/21728	1.74266280049485e-06	0.000106682421360774	7.58069284094768e-05	BBS12/BBS4/DYNC2H1/IFT122/MKS1/NDE1/OFD1/PKD1/TRAF3IP1/TTC21B/TUBA1A	11
WP_FOCAL_ADHESION	WP_FOCAL_ADHESION	11/190	202/21728	1.74266280049485e-06	0.000106682421360774	7.58069284094768e-05	COL1A1/COL1A2/COL2A1/FLNA/FLT1/HRAS/PIK3CA/PIK3R2/RAC1/RAF1/TNC	11
PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY	7/190	66/21728	1.76307086018658e-06	0.000106682421360774	7.58069284094768e-05	COL11A2/COL1A1/COL1A2/COL2A1/COL6A3/FGA/TNC	7
WP_ANGIOGENESIS	WP_ANGIOGENESIS	5/190	24/21728	1.80126420265085e-06	0.000106682421360774	7.58069284094768e-05	CREBBP/FGFR2/FLT1/MMP9/PIK3CA	5
WP_KALLMANN_SYNDROME	WP_KALLMANN_SYNDROME	5/190	24/21728	1.80126420265085e-06	0.000106682421360774	7.58069284094768e-05	CHD7/MAP2K2/OTX2/PIK3CA/PTPN11	5
REACTOME_DISEASES_OF_METABOLISM	REACTOME_DISEASES_OF_METABOLISM	12/190	246/21728	1.85955782490913e-06	0.000108095407636847	7.68109752628157e-05	ADAMTS1/ADAMTSL2/AMN/B3GAT3/CTSA/CYP11A1/GBE1/GFPT1/GUSB/NOTCH1/POMT1/THSD1	12
REACTOME_SIGNALING_BY_SCF_KIT	REACTOME_SIGNALING_BY_SCF_KIT	6/190	43/21728	1.92444796879678e-06	0.000109833494073692	7.80460334139783e-05	HRAS/MMP9/PIK3CA/PIK3R2/PTPN11/RAC1	6
WP_MALIGNANT_PLEURAL_MESOTHELIOMA	WP_MALIGNANT_PLEURAL_MESOTHELIOMA	16/190	446/21728	2.09228796667143e-06	0.000117280212988957	8.33375601762547e-05	ACTA1/ADAMTS1/CDH1/CDH11/CDH5/FGFR2/FGFR3/FLT1/FZD6/HRAS/MAP2K2/MMP9/PIK3CA/RAF1/SETD5/WNT6	16
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	13/190	296/21728	2.21026311345404e-06	0.000121719577423373	8.64921059540003e-05	BBS12/BBS4/CREBBP/DYNC2H1/IFT122/MKS1/NCOA1/NDE1/OFD1/PKD1/TRAF3IP1/TTC21B/TUBA1A	13
WP_HIPPO_SIGNALING_REGULATION_PATHWAYS	WP_HIPPO_SIGNALING_REGULATION_PATHWAYS	8/190	99/21728	2.56072425511752e-06	0.000138588162703688	9.84786696296558e-05	CDH1/CDH11/CDH5/FGFR2/FGFR3/FLT1/PRKACB/RAC1	8
BIOCARTA_HSWI_SNF_PATHWAY	BIOCARTA_HSWI_SNF_PATHWAY	4/190	12/21728	2.65461925842494e-06	0.000138880830869931	9.86866352386393e-05	ARID1A/NF1/SMARCB1/SMARCC2	4
REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING	REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING	4/190	12/21728	2.65461925842494e-06	0.000138880830869931	9.86866352386393e-05	COL1A1/COL1A2/FLNA/RAF1	4
PID_SYNDECAN_1_PATHWAY	PID_SYNDECAN_1_PATHWAY	6/190	46/21728	2.89313710531234e-06	0.000148877989730745	0.000105790466370265	COL11A2/COL1A1/COL1A2/COL2A1/COL6A3/MMP9	6
WP_MICRORNAS_IN_CARDIOMYOCYTE_HYPERTROPHY	WP_MICRORNAS_IN_CARDIOMYOCYTE_HYPERTROPHY	8/190	101/21728	2.97820493541958e-06	0.000150783633746485	0.000107144588423669	AGT/FGFR2/GATA4/MAP2K2/PIK3CA/PIK3R2/RAC1/RAF1	8
WP_NONSMALL_CELL_LUNG_CANCER	WP_NONSMALL_CELL_LUNG_CANCER	7/190	72/21728	3.19081965703084e-06	0.000157329129739357	0.00011179571969541	CASP9/HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1/SOS2	7
WP_NEURAL_CREST_DIFFERENTIATION	WP_NEURAL_CREST_DIFFERENTIATION	8/190	102/21728	3.20772994689993e-06	0.000157329129739357	0.00011179571969541	BMP7/CDH1/COL11A2/COL2A1/FGFR2/FGFR3/NOTCH1/SOX9	8
BIOCARTA_AT1R_PATHWAY	BIOCARTA_AT1R_PATHWAY	5/190	27/21728	3.34914856371839e-06	0.000161738112946339	0.000114928677028652	AGT/HRAS/MAP2K2/RAC1/RAF1	5
REACTOME_IRS_MEDIATED_SIGNALLING	REACTOME_IRS_MEDIATED_SIGNALLING	6/190	48/21728	3.73573077040252e-06	0.000177673619519598	0.00012625220897102	FGFR2/FGFR3/HRAS/PIK3CA/PIK3R2/PTPN11	6
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	9/190	140/21728	4.04512501743977e-06	0.000184172668265395	0.000130870335525686	ADAMTS1/CDH1/COL11A2/COL1A1/COL1A2/COL2A1/COL6A3/MMP10/MMP9	9
BIOCARTA_NO1_PATHWAY	BIOCARTA_NO1_PATHWAY	5/190	28/21728	4.0483957025525e-06	0.000184172668265395	0.000130870335525686	ACTA1/CHRNA1/FLT1/PRKACB/RYR2	5
WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY	WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY	5/190	28/21728	4.0483957025525e-06	0.000184172668265395	0.000130870335525686	AGT/COL1A1/COL1A2/PTPN11/RAF1	5
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	7/190	75/21728	4.20535853545073e-06	0.000188580292039712	0.000134002326866468	HRAS/MAP2K2/PIK3CA/PIK3R2/RAC1/RAF1/SOS2	7
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	12/190	267/21728	4.33175716541969e-06	0.000191512475242992	0.000136085892268708	FGFR2/FGFR3/FLNA/HRAS/MAP2K2/MECOM/NF1/PRKACB/RAC1/RAF1/RAPGEF2/SOS2	12
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY	7/190	76/21728	4.59803525225116e-06	0.0001977155158468	0.000140493679877725	CASP9/HRAS/MAP2K2/PIK3CA/PIK3R2/RAC1/RAF1	7
WP_LEPTIN_SIGNALING_PATHWAY	WP_LEPTIN_SIGNALING_PATHWAY	7/190	76/21728	4.59803525225116e-06	0.0001977155158468	0.000140493679877725	HRAS/MAP2K2/NCOA1/PIK3R2/PTPN11/RAC1/RAF1	7
WP_THERMOGENESIS	WP_THERMOGENESIS	8/190	108/21728	4.9246244415233e-06	0.000208897244891103	0.000148439248813483	ARID1A/ARID1B/HRAS/KDM1A/PRKACB/SMARCB1/SMARCC2/SOS2	8
WP_BURN_WOUND_HEALING	WP_BURN_WOUND_HEALING	8/190	110/21728	5.6469738364729e-06	0.000236344678302512	0.000167942983291033	ACTA1/COL1A1/COL1A2/FGFR2/FGFR3/MMP9/TLR3/TNC	8
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	7/190	79/21728	5.96364609345783e-06	0.000242284862560711	0.000172163989123639	HRAS/MAP2K2/PIK3CA/PIK3R2/RAC1/RAF1/SOS2	7
PID_MET_PATHWAY	PID_MET_PATHWAY	7/190	79/21728	5.96364609345783e-06	0.000242284862560711	0.000172163989123639	CDH1/HRAS/MAP2K2/PIK3CA/PTPN11/RAC1/RAF1	7
PID_KIT_PATHWAY	PID_KIT_PATHWAY	6/190	52/21728	6.02045851536651e-06	0.000242284862560711	0.000172163989123639	CREBBP/HRAS/MAP2K2/PIK3CA/PTPN11/RAF1	6
PID_AR_NONGENOMIC_PATHWAY	PID_AR_NONGENOMIC_PATHWAY	5/190	31/21728	6.8516876450423e-06	0.000270642406760973	0.000192314434676314	HRAS/MAP2K2/PIK3CA/RAC1/RAF1	5
REACTOME_HEDGEHOG_OFF_STATE	REACTOME_HEDGEHOG_OFF_STATE	8/190	113/21728	6.89754461321371e-06	0.000270642406760973	0.000192314434676314	DYNC2H1/IFT122/MKS1/OFD1/PRKACB/PTCH1/TTC21B/TUBA1A	8
REACTOME_SIGNALING_BY_HEDGEHOG	REACTOME_SIGNALING_BY_HEDGEHOG	9/190	150/21728	7.10951071229829e-06	0.000275515483035856	0.000195777169582327	DYNC2H1/GAS1/IFT122/MKS1/OFD1/PRKACB/PTCH1/TTC21B/TUBA1A	9
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	6/190	54/21728	7.52775335195417e-06	0.000284694190021496	0.000202299421088027	FGFR2/FGFR3/HRAS/PIK3CA/PIK3R2/PTPN11	6
REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R	REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R	6/190	54/21728	7.52775335195417e-06	0.000284694190021496	0.000202299421088027	FGFR2/FGFR3/HRAS/PIK3CA/PIK3R2/PTPN11	6
WP_GLIOBLASTOMA_SIGNALING_PATHWAYS	WP_GLIOBLASTOMA_SIGNALING_PATHWAYS	7/190	83/21728	8.29420601290375e-06	0.000309783019185951	0.000220127166766161	FGFR2/HRAS/MAP2K2/NF1/PIK3CA/PIK3R2/RAF1	7
PID_FGF_PATHWAY	PID_FGF_PATHWAY	6/190	55/21728	8.38851756317484e-06	0.000309783019185951	0.000220127166766161	CDH1/FGFR2/FGFR3/MMP9/PIK3CA/PTPN11	6
WP_TUMOR_SUPPRESSOR_ACTIVITY_OF_SMARCB1	WP_TUMOR_SUPPRESSOR_ACTIVITY_OF_SMARCB1	5/190	33/21728	9.43585374538932e-06	0.000342633025841768	0.000243469888753947	ARID1A/ARID1B/PTCH1/SMARCB1/SMARCC2	5
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS	4/190	16/21728	9.49635974776483e-06	0.000342633025841768	0.000243469888753947	CREBBP/HNF1B/KAT2A/NOTCH1	4
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	7/190	85/21728	9.71632818243303e-06	0.000346585842780196	0.000246278701179134	CDH1/COL1A1/COL1A2/COL2A1/COL6A3/FGA/TNC	7
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	6/190	57/21728	1.03494091576494e-05	0.000365020172425409	0.000259377859314714	HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1/SOS2	6
WP_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING	WP_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING	5/190	34/21728	1.09845859166309e-05	0.000383117946581159	0.000272237866167729	HRAS/MAP2K2/PIK3CA/PTPN11/RAF1	5
REACTOME_SIGNALING_BY_PDGF	REACTOME_SIGNALING_BY_PDGF	6/190	58/21728	1.14602638647327e-05	0.000395316134850506	0.000280905715782171	COL2A1/COL6A3/HRAS/PIK3CA/PIK3R2/PTPN11	6
WP_MAPK_SIGNALING_PATHWAY	WP_MAPK_SIGNALING_PATHWAY	11/190	249/21728	1.28641526633958e-05	0.000435010803964344	0.000309112152244411	FGFR2/FGFR3/FLNA/HRAS/MAP2K2/NF1/PRKACB/RAC1/RAF1/RAPGEF2/SOS2	11
WP_HIPPOMERLIN_SIGNALING_DYSREGULATION	WP_HIPPOMERLIN_SIGNALING_DYSREGULATION	8/190	123/21728	1.28881824685199e-05	0.000435010803964344	0.000309112152244411	CDH1/CDH11/CDH5/FGFR2/FGFR3/FLT1/HRAS/PRKACB	8
WP_PANCREATIC_ADENOCARCINOMA_PATHWAY	WP_PANCREATIC_ADENOCARCINOMA_PATHWAY	7/190	89/21728	1.31707069122188e-05	0.000439817542526117	0.000312527748566537	CASP9/MAP2K2/PIK3CA/PIK3R2/RAC1/RAF1/RIPK4	7
